RamanShift,MW0
648.72,0.025141073
649.68,0.024785163
650.65,0.02433243
651.61,0.023871854
652.57,0.023449154
653.54,0.023071876
654.5,0.022728359
655.47,0.022415562
656.43,0.022145358
657.4,0.021886744
658.36,0.021596069
659.32,0.021287489
660.29,0.021001697
661.25,0.020772878
662.22,0.020614746
663.18,0.020461232
664.15,0.020275004
665.11,0.020069293
666.07,0.019875366
667.04,0.01972188
668,0.01960689
668.97,0.019501635
669.93,0.019382873
670.9,0.019239621
671.86,0.019072577
672.82,0.018893396
673.79,0.018726657
674.75,0.018590326
675.72,0.018460903
676.68,0.018307703
677.64,0.018130665
678.61,0.017954655
679.57,0.017825224
680.54,0.017733172
681.5,0.017617152
682.47,0.017468986
683.43,0.017287991
684.39,0.017078407
685.36,0.016840543
686.32,0.01656777
687.29,0.016295692
688.25,0.016082427
689.22,0.0159511
690.18,0.015876222
691.14,0.015798033
692.11,0.015672456
693.07,0.015535685
694.04,0.015377853
695,0.015190853
695.97,0.014985663
696.93,0.014791142
697.89,0.014646714
698.86,0.014554316
699.82,0.014431302
700.79,0.014253921
701.75,0.01403649
702.72,0.013815429
703.68,0.013634079
704.64,0.013529143
705.61,0.013460342
706.57,0.013386476
707.54,0.013300312
708.5,0.013205951
709.46,0.013109683
710.43,0.012997916
711.39,0.012870181
712.36,0.012749803
713.32,0.012634903
714.29,0.012519719
715.25,0.012402338
716.21,0.012292226
717.18,0.012172563
718.14,0.012015059
719.11,0.011836975
720.07,0.01167202
721.04,0.011543988
722,0.011451179
722.96,0.011379855
723.93,0.011322483
724.89,0.011289774
725.86,0.011286913
726.82,0.011297958
727.79,0.011307571
728.75,0.011299647
729.71,0.011294784
730.68,0.011335933
731.64,0.011410322
732.61,0.011491406
733.57,0.01155821
734.53,0.011612441
735.5,0.01164938
736.46,0.011662223
737.43,0.01168483
738.39,0.011747417
739.36,0.011861739
740.32,0.012010018
741.28,0.012155515
742.25,0.012224055
743.21,0.012211687
744.18,0.012188066
745.14,0.012198203
746.11,0.012236128
747.07,0.012223457
748.03,0.012130774
749,0.012028083
749.96,0.011929737
750.93,0.011854146
751.89,0.011812547
752.86,0.011813677
753.82,0.011852489
754.78,0.011891352
755.75,0.011892444
756.71,0.011840371
757.68,0.0117302
758.64,0.011582928
759.6,0.011448436
760.57,0.011361937
761.53,0.011264926
762.5,0.011157678
763.46,0.011049901
764.43,0.010943537
765.39,0.010836636
766.35,0.010729364
767.32,0.010588139
768.28,0.010444591
769.25,0.01033954
770.21,0.010274607
771.18,0.010228185
772.14,0.010176343
773.1,0.010117508
774.07,0.01005004
775.03,0.009994125
776,0.009975719
776.96,0.009992998
777.93,0.0100087
778.89,0.009959072
779.85,0.009799209
780.82,0.009625154
781.78,0.009471104
782.75,0.009354629
783.71,0.00927915
784.67,0.00924151
785.64,0.009235077
786.6,0.009223239
787.57,0.009157482
788.53,0.009026891
789.5,0.008873254
790.46,0.008762712
791.42,0.008753382
792.39,0.00880195
793.35,0.008803097
794.32,0.008749777
795.28,0.008662694
796.25,0.008559511
