Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
2535.452,0.107026247,0.109518724,0.109678443,0.109129661,0.107445874,0.103808621,0.101039959,0.099038268,0.096126152,0.094586108,0.092047822,0.090276602,0.089567257,0.087506436,0.087366105
2535.934,0.107118463,0.109592219,0.109813914,0.109216559,0.107529068,0.103862491,0.101108015,0.099103753,0.09618588,0.094671744,0.092151324,0.090379803,0.089661965,0.087580324,0.087425459
2536.417,0.107223082,0.109668257,0.109947596,0.10929632,0.107621082,0.103915018,0.101180935,0.099168863,0.096243896,0.094742911,0.092241988,0.090480152,0.08974075,0.087648488,0.087490604
2536.898,0.107341789,0.109749379,0.110076799,0.109375013,0.107723852,0.103973721,0.101266686,0.099238087,0.096302126,0.094801318,0.092321723,0.090576276,0.08980643,0.087717623,0.087569776
2537.381,0.107474028,0.109836674,0.110199729,0.109458351,0.107834557,0.104044241,0.101367513,0.099316337,0.096361319,0.094849261,0.092394615,0.090665586,0.089862921,0.087790591,0.087666121
2537.863,0.107614541,0.109928328,0.110313689,0.109548652,0.107948792,0.104125287,0.101479835,0.099402706,0.096423456,0.09489021,0.092463952,0.090746394,0.089911476,0.087866011,0.087774147
2538.345,0.107750177,0.110017808,0.110412402,0.109641279,0.108056334,0.104207837,0.101592102,0.099490785,0.096484308,0.0949255,0.09253,0.090813945,0.089951835,0.087936321,0.087879626
2538.827,0.107867597,0.11009749,0.110490479,0.109725516,0.108145018,0.104277873,0.101687583,0.099568341,0.096538577,0.094953048,0.092587826,0.09086301,0.08998055,0.087989259,0.087965089
2539.309,0.107954581,0.110160838,0.110543426,0.109791555,0.108208312,0.104324063,0.101754676,0.099626027,0.096579306,0.094970827,0.092634828,0.090890949,0.089993602,0.088017669,0.088018552
2539.791,0.108006812,0.110206761,0.110574297,0.109833137,0.108245341,0.104341948,0.101787822,0.099657594,0.096603551,0.094979155,0.092669524,0.090899822,0.08999047,0.088020633,0.088037172
2540.273,0.108029736,0.110240706,0.110593323,0.109851877,0.108263146,0.10433937,0.101794344,0.099669025,0.096613934,0.094982092,0.092696049,0.090899505,0.089977574,0.08800888,0.088030283
2540.755,0.108036502,0.110273924,0.110613605,0.109859377,0.108276724,0.104332119,0.101789319,0.099672336,0.096618215,0.094987965,0.092723052,0.090900298,0.089965044,0.087996668,0.088015158
2541.238,0.108044206,0.11031985,0.110649504,0.109872405,0.108301234,0.104339531,0.101791992,0.099684835,0.096629615,0.095007558,0.09275971,0.090914346,0.089966297,0.088000909,0.088009717
2541.72,0.108067502,0.11038629,0.110707485,0.109905962,0.108347959,0.104377986,0.10181637,0.099718699,0.096657499,0.095050269,0.092813716,0.090945138,0.089990157,0.088031057,0.088024143
2542.202,0.108112594,0.110473427,0.110786829,0.109967899,0.108419724,0.104449902,0.101868334,0.099777347,0.096707915,0.0951185,0.092883424,0.090991985,0.090042628,0.088087928,0.088059636
2542.684,0.108177794,0.110572912,0.110876583,0.11005768,0.108510362,0.104548296,0.101941148,0.099853621,0.096777009,0.095209207,0.092961091,0.091045804,0.090117757,0.088165188,0.088108557
2543.166,0.108254275,0.110672765,0.110963831,0.110166212,0.10860682,0.104659043,0.10202321,0.099934702,0.096857664,0.095312674,0.093034513,0.091097087,0.090207924,0.088251492,0.088160423
2543.648,0.108331879,0.110759549,0.111037434,0.110280461,0.108696227,0.104766353,0.102097146,0.100006008,0.096940299,0.095416942,0.093092709,0.091139075,0.090302163,0.088334935,0.088207398
2544.13,0.108403287,0.11082818,0.111096317,0.110391859,0.108770475,0.104861632,0.102156381,0.10006081,0.097020793,0.095514377,0.09313011,0.091173511,0.090393582,0.088412348,0.088250578
2544.612,0.108465676,0.110878474,0.111144072,0.110492729,0.108826908,0.104943538,0.10219792,0.100100069,0.097095668,0.09559761,0.093148943,0.091205887,0.090479572,0.088480819,0.088296254
2545.094,0.108522992,0.110918965,0.111193089,0.110585745,0.108870999,0.105019106,0.102228339,0.100133292,0.09716974,0.095668777,0.093157591,0.091244864,0.090561698,0.088541932,0.088354111
2545.577,0.108579371,0.110959637,0.111252336,0.11067234,0.10891015,0.105094835,0.102258063,0.100173138,0.097245792,0.095730174,0.093168625,0.091297415,0.090641005,0.088596402,0.088429789
2546.059,0.108640259,0.111009027,0.111326668,0.110757509,0.108952303,0.105177761,0.102296608,0.100229649,0.097326928,0.095788634,0.093191172,0.091365917,0.09072005,0.088642441,0.088523088
2546.541,0.108710357,0.111073125,0.111416444,0.110845177,0.109003277,0.105268421,0.102352582,0.100307419,0.097412721,0.095849818,0.093232445,0.091448678,0.090798626,0.088679385,0.088626771
2547.023,0.1087908,0.111153387,0.111514308,0.110936426,0.109066592,0.105364775,0.102428122,0.100403349,0.097498674,0.095917888,0.093293825,0.091540102,0.090873286,0.088709277,0.08873285
2547.505,0.108884207,0.111249813,0.111613966,0.111031784,0.109144026,0.105463706,0.102522106,0.100510496,0.097582165,0.095995408,0.093375682,0.091637335,0.090946589,0.088739476,0.088834785
2547.987,0.108992094,0.11136277,0.111712913,0.111133038,0.10923928,0.105566236,0.102632449,0.100623198,0.097664318,0.096086169,0.093476426,0.091739479,0.091021406,0.08878204,0.088931929
2548.469,0.109115405,0.111491533,0.111813479,0.111239651,0.10935358,0.105671719,0.10275605,0.100736594,0.097747649,0.096190491,0.093594145,0.091849546,0.091103062,0.088849182,0.089027525
2548.951,0.109253,0.111634287,0.111919796,0.111350736,0.109487473,0.105783863,0.102887617,0.100848922,0.097838366,0.096307412,0.093726082,0.091967324,0.091196726,0.08894867,0.089125866
