Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3678.551,0.048757827,0.049137448,0.046883683,0.04540624,0.042209302,0.037081444,0.035135984,0.030697552,0.029302866,0.019620828,0.020126348,0.013801567,0.013352869,0.014348222,0.017100688,0.018797229
3679.033,0.048686606,0.049123083,0.046820859,0.045311671,0.042120629,0.037097147,0.035119207,0.030649289,0.029281768,0.019626332,0.020136316,0.013941252,0.013487149,0.014498366,0.017330975,0.019154275
3679.515,0.048729952,0.049215692,0.046853485,0.045276115,0.042083441,0.037317298,0.035206335,0.03061287,0.029200995,0.019849401,0.020172036,0.014167155,0.013670671,0.01479619,0.01805267,0.02021886
3679.998,0.048861059,0.049394854,0.046977075,0.045307989,0.042115182,0.037718761,0.035406985,0.030642297,0.02913863,0.020284479,0.020299027,0.014524006,0.013974085,0.015282445,0.01919415,0.021827149
3680.48,0.049041131,0.04962597,0.047168504,0.045397141,0.042210926,0.038236423,0.035698005,0.030754633,0.029137441,0.02085856,0.020529336,0.014993533,0.014399123,0.015920125,0.020569186,0.023682744
3680.962,0.049230428,0.049871308,0.047393722,0.045522427,0.042347052,0.03879261,0.036034653,0.030929216,0.029199288,0.021469507,0.020828124,0.015514931,0.01489758,0.016622258,0.021962957,0.025491528
3681.444,0.049399598,0.050101086,0.047617936,0.045659337,0.042492292,0.039322835,0.036371039,0.031130408,0.029299815,0.022024843,0.021138906,0.016016459,0.015401425,0.017297635,0.023205383,0.027045723
3681.926,0.049527817,0.050294694,0.047813854,0.045786253,0.042623652,0.039786114,0.036675752,0.031322574,0.029407634,0.02246366,0.021411787,0.016440507,0.01585321,0.017878401,0.02419542,0.02824326
3682.408,0.049600674,0.050437919,0.047959036,0.045886766,0.042724425,0.040161197,0.036931753,0.031482599,0.02950087,0.022755789,0.021614942,0.016754374,0.016216892,0.018327601,0.024889159,0.029052236
3682.89,0.049610412,0.05052209,0.048043717,0.045951513,0.042791886,0.04044353,0.037133554,0.031603544,0.029574093,0.02289853,0.021737417,0.016949125,0.016482535,0.018637497,0.025287623,0.029487704
3683.372,0.049560107,0.050548586,0.048069375,0.045979494,0.042826978,0.040640126,0.037285231,0.031685409,0.029625029,0.022910213,0.021782794,0.017033695,0.016654043,0.018820212,0.025433748,0.029608759
3683.854,0.049469643,0.050532135,0.048051742,0.045975287,0.042835253,0.040773075,0.037397081,0.031726316,0.029645197,0.022832326,0.021757302,0.017024309,0.016736658,0.018896984,0.025417257,0.029536602
3684.337,0.049373581,0.050500093,0.048015736,0.045949146,0.042817707,0.040878178,0.037478094,0.031712645,0.029606413,0.022719078,0.021657723,0.016930503,0.016721133,0.018885897,0.025366369,0.029454587
3684.819,0.049312474,0.050485547,0.047988072,0.04590954,0.04276973,0.040990504,0.037530569,0.031615806,0.029458259,0.022616319,0.02146033,0.016744839,0.016576916,0.018784931,0.025407352,0.029562726
3685.301,0.049315144,0.050508064,0.047981368,0.045857943,0.042676081,0.041123976,0.037537782,0.031393586,0.029138475,0.022531837,0.021118606,0.016428026,0.016243491,0.018556389,0.025599827,0.029982607
3685.783,0.049382116,0.050561063,0.047986172,0.045783413,0.042516281,0.041249858,0.037461734,0.031000332,0.028589454,0.022408879,0.020564796,0.015906329,0.015637304,0.018114581,0.025867145,0.030652415
3686.265,0.049476183,0.050605051,0.047964474,0.045661493,0.042267021,0.041294192,0.037247285,0.030404582,0.027780995,0.022118879,0.019731459,0.015086989,0.014675346,0.017344053,0.025970189,0.031273957
3686.747,0.049533957,0.050580459,0.047866278,0.045467621,0.041918037,0.041161191,0.03684473,0.029608369,0.026736112,0.021504816,0.01858542,0.013900115,0.013318508,0.016142113,0.025575676,0.031381513
3687.229,0.049496193,0.050435149,0.047657584,0.045194221,0.041482631,0.040790767,0.036251558,0.028670862,0.02554716,0.020458687,0.01717003,0.012361832,0.011627157,0.014504181,0.024410045,0.030539615
3687.711,0.049348763,0.050168451,0.047352385,0.04487075,0.041013286,0.040217046,0.035543714,0.027710711,0.024371084,0.019009673,0.01563393,0.010616966,0.00979683,0.012580842,0.022435971,0.02858739
3688.194,0.049136777,0.049841356,0.047016512,0.044559481,0.040587622,0.039578892,0.034865976,0.026877714,0.023386289,0.017346054,0.014200316,0.008926367,0.008119916,0.010668934,0.019926774,0.025757674
3688.676,0.048943622,0.049551871,0.046742354,0.044330106,0.04027771,0.039064003,0.034380682,0.026300485,0.022731156,0.015744434,0.013088387,0.007572101,0.006881686,0.00910053,0.017357516,0.02258611
3689.158,0.048848521,0.049393644,0.046605091,0.044228541,0.04012519,0.03882569,0.034192941,0.026035898,0.022455275,0.014457944,0.012430118,0.006745772,0.006246725,0.008111611,0.015207605,0.01967909
3689.64,0.048899206,0.049418225,0.046637665,0.044262729,0.040128857,0.038935032,0.034326691,0.026063343,0.022514381,0.013643504,0.012238748,0.006503195,0.006224625,0.00778161,0.013816371,0.017537538
