Wavenumber,t0,60s,180s,5m,8m,10m,20m,30m,60m,90m
717.8718,0.761021862,0.715266179,0.637040171,0.611067098,0.576083722,0.566338327,0.530155421,0.501334869,0.430126902,0.40024906
718.3539,0.759443125,0.713792202,0.63572923,0.609831768,0.574916972,0.565201928,0.529064406,0.500210028,0.429249699,0.399412022
718.836,0.75774906,0.712215561,0.634323464,0.608504616,0.573673591,0.563990012,0.527901802,0.499028019,0.428306042,0.398521635
719.3181,0.755904135,0.710501641,0.632797693,0.607056931,0.572326885,0.562673592,0.52664367,0.497777675,0.42728039,0.397567073
719.8002,0.753948869,0.708683578,0.631185669,0.605517942,0.570901818,0.561275078,0.525316508,0.496483784,0.426192372,0.396564871
720.2823,0.751979266,0.706849538,0.62956427,0.603960847,0.569462166,0.559858537,0.523981443,0.495197932,0.425086565,0.395552433
720.7645,0.750091327,0.705085618,0.628007159,0.602458069,0.568069234,0.558487793,0.52269728,0.49396523,0.424005296,0.394561649
721.2466,0.748322143,0.703429095,0.626541658,0.601038836,0.566743786,0.557186963,0.521484936,0.492799523,0.422963285,0.393601574
721.7287,0.746631507,0.701841211,0.625130803,0.599670817,0.565451461,0.555924135,0.520313036,0.491669099,0.421940496,0.392650556
722.2108,0.744919988,0.700230546,0.623690482,0.598278225,0.564121317,0.55462769,0.519114406,0.490515004,0.420891738,0.391667055
722.6929,0.743085037,0.698500058,0.622136853,0.596781655,0.562682654,0.553222842,0.517820713,0.489277165,0.41977264,0.390610127
723.175,0.741072419,0.696600042,0.620425718,0.595140756,0.561106799,0.551674757,0.516397093,0.487922979,0.418561733,0.389460282
723.6572,0.738906136,0.694551207,0.618576097,0.593373892,0.559418719,0.550003166,0.514858189,0.486462495,0.417270261,0.388226379
724.1393,0.736669098,0.692430775,0.616658169,0.591544952,0.557685402,0.548272136,0.513257459,0.484938143,0.415932783,0.386938537
724.6214,0.734456684,0.690327798,0.614749616,0.589726099,0.555975816,0.546553043,0.511654869,0.483400838,0.414585694,0.385629631
725.1035,0.732326245,0.688294644,0.612901066,0.587960012,0.554327534,0.54488949,0.510086214,0.481882515,0.413248421,0.384318757
725.5856,0.73026812,0.686322438,0.611107964,0.586237637,0.552727207,0.543272953,0.508546148,0.480380941,0.41191176,0.383004142
726.0677,0.728214671,0.684350823,0.60932263,0.584510348,0.551120948,0.54165666,0.506996087,0.478864851,0.410548518,0.381668267
726.5499,0.726088285,0.682308794,0.607487473,0.582723568,0.549451902,0.539984825,0.505395357,0.477295835,0.409132725,0.380295973
727.032,0.723846571,0.680161438,0.605573831,0.580853243,0.547695349,0.538231871,0.503727456,0.475654242,0.40766152,0.378888441
727.5141,0.721510414,0.677934496,0.603602597,0.578925497,0.545873785,0.536418748,0.502015858,0.473956374,0.406161074,0.377471067
727.9962,0.71915462,0.675702228,0.601633775,0.577004735,0.544047771,0.534604894,0.500313324,0.472245553,0.404677191,0.376083024
728.4783,0.71686397,0.673545109,0.599731115,0.575158465,0.542283061,0.532853889,0.498673314,0.470576492,0.403256082,0.374759748
