Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
684.1236,0.449457059,0.420801128,0.411983998,0.406941056,0.402647114,0.398374245,0.397031588,0.402224622,0.405744178,0.407515648,0.412713151,0.412531948,0.415572544,0.403041331,0.393225243
684.6057,0.448400435,0.419838917,0.41101437,0.405989178,0.401650463,0.397468443,0.396063652,0.401289479,0.404837294,0.40659829,0.411819699,0.411678725,0.414721527,0.40218123,0.392380416
685.0878,0.447320327,0.418855082,0.410021386,0.405011895,0.40064311,0.396556237,0.395077075,0.400343788,0.403911369,0.405676203,0.410909201,0.410822519,0.413839543,0.401318558,0.39153598
685.5699,0.44626391,0.417892673,0.409048029,0.404050441,0.399670393,0.39566887,0.394120013,0.39942173,0.402996044,0.404789194,0.410018127,0.409993754,0.412949419,0.400490503,0.390724969
686.0521,0.44527733,0.416994544,0.408137286,0.403149762,0.398776287,0.394841268,0.393239453,0.398563343,0.4021294,0.403979633,0.409190078,0.409226231,0.41209205,0.399730694,0.389979833
686.5342,0.444378716,0.416177161,0.407306429,0.402332526,0.39797597,0.394087015,0.392457532,0.397789916,0.401334796,0.403267228,0.40845082,0.408537846,0.41130158,0.399050407,0.389314644
687.0163,0.443547879,0.415421479,0.406538578,0.40158779,0.397249594,0.393390006,0.391760851,0.397090902,0.400608111,0.402637394,0.407795595,0.407916272,0.410590116,0.398431839,0.388719238
687.4984,0.442739704,0.414683652,0.405793889,0.400879597,0.396552989,0.392710848,0.391108052,0.396432122,0.399920685,0.40204796,0.407192296,0.407327904,0.409942971,0.397839382,0.388165664
687.9805,0.441915047,0.413925589,0.405036833,0.400171405,0.395843152,0.39201248,0.390456225,0.395774904,0.399238362,0.401450643,0.406598313,0.406734764,0.409329175,0.397243167,0.387625381
688.4626,0.441066082,0.413137172,0.404258972,0.399449142,0.395104129,0.391280737,0.389783621,0.395099132,0.398543477,0.400817262,0.405987483,0.406117365,0.408720341,0.396635281,0.38708588
688.9448,0.440224738,0.412348159,0.403487981,0.39873196,0.394356932,0.390536962,0.389102668,0.394416524,0.397846825,0.400153533,0.4053606,0.405484854,0.408108332,0.396037483,0.386555371
689.4269,0.43944561,0.411610134,0.402771556,0.39805816,0.393646707,0.389825205,0.38845084,0.393763213,0.397181973,0.399493745,0.404743824,0.404869046,0.407506447,0.395486172,0.38605731
689.909,0.438774019,0.410967933,0.402150524,0.3974637,0.393017816,0.389191455,0.387866583,0.39317865,0.396587001,0.398880071,0.404170651,0.404305931,0.406940889,0.395012206,0.385611049
690.3911,0.438213673,0.410431872,0.401632735,0.396955029,0.392487969,0.388655696,0.387367179,0.392681782,0.396080756,0.398336948,0.403659314,0.40381062,0.406430716,0.394620334,0.385221084
690.8732,0.437725224,0.409971995,0.401186981,0.396504396,0.392038873,0.38820396,0.386937287,0.392259912,0.395650673,0.397860828,0.403202084,0.403371979,0.40597692,0.394285037,0.384869431
691.3553,0.437239041,0.409528585,0.400757126,0.396062362,0.391625969,0.387794719,0.38653788,0.391875152,0.395258867,0.39742097,0.402769231,0.402956801,0.405558657,0.3939624,0.38452892
691.8375,0.43669291,0.409046686,0.400290566,0.395583198,0.391202363,0.387381791,0.386125463,0.391482384,0.394859603,0.396980914,0.402324685,0.402528101,0.405145357,0.393612267,0.384177463
692.3196,0.436063138,0.40850269,0.399766104,0.395052249,0.3907449,0.386941115,0.38567965,0.391054655,0.394425594,0.396519772,0.401851995,0.402067786,0.404716176,0.393220197,0.383813495
692.8017,0.435378362,0.40791723,0.399204741,0.394494332,0.390265838,0.386480258,0.38521073,0.39059763,0.393959589,0.396045426,0.401361072,0.401586792,0.40427171,0.392804588,0.383460083
693.2838,0.434701209,0.407342483,0.398655547,0.393961624,0.389802537,0.386034149,0.38475346,0.390142949,0.39349378,0.395589408,0.400886004,0.401118524,0.403836574,0.392404209,0.383151825
693.7659,0.434097601,0.406833206,0.398169555,0.39350552,0.389396444,0.385643148,0.384347451,0.389731626,0.393070371,0.395188963,0.40046762,0.400700959,0.403446302,0.392057637,0.382918237
694.248,0.433597822,0.40641519,0.397771498,0.393147906,0.38906507,0.385326079,0.384011538,0.389388076,0.392717432,0.394864192,0.400126927,0.400354779,0.403125508,0.39178208,0.382764987
