Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3962.518,0.041825825,0.044827056,0.043732159,0.042840428,0.040585804,0.035739849,0.03431474,0.031320765,0.031351164,0.025100186,0.023780865,0.02156459,0.02119116,0.02323982,0.027882774,0.03031382
3963,0.041895992,0.044871252,0.043735284,0.042806018,0.040466444,0.035664098,0.034137424,0.031021719,0.030943698,0.024796465,0.023321521,0.021048658,0.020610852,0.02268086,0.027533823,0.030081175
3963.482,0.041966431,0.044897299,0.043714073,0.042744285,0.040308312,0.035547972,0.033911403,0.030647722,0.030440651,0.024407124,0.022750162,0.02040964,0.019895233,0.021990346,0.027090374,0.029782442
3963.964,0.042030532,0.044904356,0.043679183,0.042668176,0.040136579,0.035411274,0.033672811,0.030252304,0.029912854,0.023990803,0.022148328,0.019738098,0.01914745,0.021268078,0.026619142,0.029466715
3964.447,0.042082353,0.044894611,0.043639579,0.042590589,0.039975858,0.035276465,0.033457426,0.029890606,0.029430987,0.023606546,0.021599352,0.019123532,0.01846937,0.020611939,0.026184414,0.029179311
3964.928,0.042118385,0.044875116,0.043607148,0.042526613,0.039848378,0.035164575,0.033294005,0.029608798,0.029055315,0.023304889,0.021171633,0.018643024,0.017945109,0.020103467,0.025839914,0.028957161
3965.411,0.042136198,0.044853103,0.043590446,0.042486443,0.039768094,0.035090152,0.033201123,0.029438382,0.028823731,0.023117039,0.020909285,0.018345093,0.017624957,0.019789916,0.025618234,0.028818531
3965.893,0.042136605,0.044834954,0.043592905,0.042476808,0.039740081,0.035060291,0.033183055,0.029388936,0.028748189,0.023052107,0.020824001,0.018244815,0.017523092,0.019683416,0.025527827,0.028765002
3966.375,0.042123109,0.044825038,0.043612425,0.04249674,0.039758807,0.035070398,0.033229267,0.029449017,0.028814406,0.023095948,0.020898194,0.018323201,0.017615584,0.019760598,0.025554711,0.028782743
3966.857,0.04210111,0.044825038,0.043642909,0.042540835,0.039812347,0.035112765,0.033322658,0.029590904,0.028987809,0.023219923,0.021091095,0.018536513,0.017853045,0.019975283,0.025671597,0.028851948
3967.339,0.042078438,0.044835795,0.043678158,0.04260058,0.039886033,0.035174835,0.033441038,0.029777903,0.029224501,0.023388143,0.021352643,0.018827437,0.018171913,0.020267712,0.025841982,0.028951233
3967.821,0.042059817,0.044852597,0.043709616,0.042664557,0.03996307,0.035242163,0.033561658,0.029971958,0.029476818,0.023564114,0.021628829,0.019135131,0.018507955,0.020578593,0.026027921,0.029059212
3968.303,0.042049966,0.044872598,0.043732979,0.042720428,0.040032443,0.035302702,0.033665482,0.030140306,0.029705475,0.023718441,0.02187394,0.019405999,0.018807316,0.020857862,0.02619318,0.029155116
3968.785,0.04204821,0.044890076,0.043745377,0.042758966,0.04008512,0.035346141,0.033738312,0.030260116,0.029878184,0.023828624,0.022052252,0.019601624,0.019028839,0.021066881,0.026306336,0.02921712
3969.268,0.042050098,0.044899821,0.043744558,0.042772017,0.040116229,0.0353637,0.033768848,0.030316972,0.029975152,0.023878305,0.022141883,0.01969731,0.019147688,0.021179235,0.026341896,0.029225375
3969.75,0.042050775,0.044897804,0.043730161,0.042756672,0.040125516,0.035351348,0.03375185,0.030306589,0.029988544,0.023861191,0.02213289,0.019685615,0.019155539,0.021184293,0.026287094,0.029164206
