RamanShift,NBS2
575.36,0.024192273
576.32,0.024047122
577.29,0.023900578
578.25,0.023715706
579.21,0.023474302
580.18,0.023191802
581.14,0.022930305
582.11,0.022747971
583.07,0.022616843
584.03,0.022494858
585,0.022345083
585.96,0.02215518
586.93,0.021932754
587.89,0.02169094
588.86,0.021461732
589.82,0.021278702
590.78,0.02115291
591.75,0.021044777
592.71,0.020855791
593.68,0.02063155
594.64,0.020429391
595.61,0.020273951
596.57,0.020161474
597.53,0.02007545
598.5,0.019989449
599.46,0.019865949
600.43,0.019714822
601.39,0.019564877
602.36,0.0194534
603.32,0.019407567
604.28,0.019433734
605.25,0.019498301
606.21,0.01957411
607.18,0.019642507
608.14,0.019684981
609.1,0.019704232
610.07,0.019758757
611.03,0.019889937
612,0.020065177
612.96,0.020244182
613.93,0.020407514
614.89,0.020584096
615.85,0.020828299
616.82,0.021080853
617.78,0.021311221
618.75,0.021522759
619.71,0.021732159
620.68,0.021954594
621.64,0.022149859
622.6,0.02228836
623.57,0.022392974
624.53,0.022487652
625.5,0.022595149
626.46,0.022727742
627.43,0.022867077
628.39,0.022961687
629.35,0.022982566
630.32,0.022940555
631.28,0.02287231
632.25,0.022817386
633.21,0.022786169
634.18,0.022739093
635.14,0.022633688
636.1,0.022458777
637.07,0.022232997
638.03,0.021999685
639,0.021803944
639.96,0.021627902
640.92,0.021437505
641.89,0.021216691
642.85,0.020957083
643.82,0.020665547
644.78,0.020341075
645.75,0.020014491
646.71,0.019721136
647.67,0.019470542
648.64,0.01925956
649.6,0.019080079
650.57,0.018895102
651.53,0.01868231
652.5,0.018444831
653.46,0.018185485
654.42,0.017911152
655.39,0.01764878
656.35,0.017455307
657.32,0.017342066
658.28,0.017249645
659.25,0.017140505
660.21,0.016995714
661.17,0.016824321
662.14,0.016647458
663.1,0.016510976
664.07,0.016406527
665.03,0.016309201
665.99,0.016200856
666.96,0.016071558
667.92,0.015932084
668.89,0.015796228
669.85,0.015667478
670.82,0.015539636
671.78,0.015413566
672.74,0.015284431
673.71,0.015150918
674.67,0.01500461
675.64,0.014859286
676.6,0.014725026
677.57,0.014601253
678.53,0.014485874
679.49,0.01436999
680.46,0.014237796
681.42,0.014100744
682.39,0.013983537
683.35,0.013880375
684.32,0.013767438
685.28,0.013626862
686.24,0.013483022
687.21,0.01338895
688.17,0.013321402
689.14,0.013244238
690.1,0.013144658
691.06,0.013029637
692.03,0.012925277
692.99,0.012812034
693.96,0.01269715
694.92,0.012600811
695.89,0.012529095
696.85,0.012476151
697.81,0.012429864
698.78,0.012382157
699.74,0.012315958
700.71,0.012219081
701.67,0.012093722
702.64,0.011958295
703.6,0.011843087
704.56,0.01178061
705.53,0.011765714
706.49,0.01176594
707.46,0.01175787
708.42,0.011732579
709.39,0.011687548
710.35,0.011626556
711.31,0.011541189
712.28,0.011431527
713.24,0.011314112
714.21,0.011207813
715.17,0.011113744
716.13,0.011027855
717.1,0.010941793
718.06,0.010868105
719.03,0.010815817
719.99,0.010771749
720.96,0.010724752
721.92,0.010674491
722.88,0.010632667
723.85,0.010596597
724.81,0.010552937
725.78,0.010503401
726.74,0.010449121
727.71,0.010397673
728.67,0.010361901
729.63,0.01035228
730.6,0.010351532
731.56,0.010371118
732.53,0.010404101
733.49,0.010426678
734.46,0.010414001
735.42,0.010392196
736.38,0.010393967
737.35,0.010416585
738.31,0.010464311
739.28,0.010534623
740.24,0.01061389
741.2,0.010678422
742.17,0.010710374
743.13,0.010710776
744.1,0.010685778
745.06,0.010642449
746.03,0.010593056
746.99,0.010544792
747.95,0.010515948
748.92,0.010482569
749.88,0.01043372
750.85,0.010377222
751.81,0.010306653
752.78,0.010196388
753.74,0.01005353
754.7,0.009952936
755.67,0.009876562
756.63,0.009792085
757.6,0.009687489
758.56,0.009562386
759.53,0.009424649
760.49,0.009286284
761.45,0.009164407
762.42,0.009046873
763.38,0.008924139
764.35,0.00879333
765.31,0.008654163
766.28,0.008489719
767.24,0.00832303
768.2,0.008177638
769.17,0.00803185
770.13,0.007871366
771.1,0.007697868
772.06,0.007522107
773.02,0.007359925
773.99,0.007214627
774.95,0.007081384
775.92,0.006952502
776.88,0.006815185
777.85,0.00666478
778.81,0.006491557
779.77,0.006295475
780.74,0.006113182
781.7,0.005957329
782.67,0.005817032
783.63,0.005671375
784.6,0.005514092
785.56,0.005359437
786.52,0.005217151
787.49,0.005101824
788.45,0.005010272
789.42,0.004924928
790.38,0.004827908
791.35,0.004714404
792.31,0.004600472
793.27,0.00449105
794.24,0.0043748
