Angle,Intensity
7.293634326,4636
7.306764608,4589
7.319894891,4692
7.333025174,4716
7.346155456,4561
7.359285739,4742
7.372416022,4615
7.385546304,4726
7.398676587,4766
7.41180687,4729
7.424937152,4700
7.438067435,4718
7.451197718,4764
7.464328,4747
7.477458283,4839
7.490588566,4839
7.503718848,4749
7.516849131,4857
7.529979414,4684
7.543109697,4641
7.556239979,4736
7.569370262,4693
7.582500545,4875
7.595630827,4825
7.60876111,4779
7.621891393,4762
7.635021675,4692
7.648151958,4872
7.661282241,4835
7.674412523,4920
7.687542806,4911
7.700673089,4864
7.713803371,5040
7.726933654,4929
7.740063937,4980
7.753194219,4887
7.766324502,5066
7.779454785,4854
7.792585067,4900
7.80571535,5010
7.818845633,4930
7.831975915,5077
7.845106198,4946
7.858236481,4891
7.871366763,4989
7.884497046,4915
7.897627329,5024
7.910757611,4914
7.923887894,5009
7.937018177,5119
7.950148459,5124
7.963278742,4948
7.976409025,5161
7.989539308,5006
8.00266959,5111
8.015799873,5053
8.028930156,5149
8.042060438,4950
8.055190721,5166
8.068321004,5038
8.081451286,5096
8.094581569,4930
8.107711852,5138
8.120842134,5008
8.133972417,5192
8.1471027,5174
8.160232982,5073
8.173363265,4997
8.186493548,5155
8.19962383,5139
8.212754113,5209
8.225884396,5236
8.239014678,5118
8.252144961,5335
8.265275244,5262
8.278405526,5253
8.291535809,5184
8.304666092,5256
8.317796374,5221
8.330926657,5187
8.34405694,5222
8.357187222,5135
8.370317505,5295
8.383447788,5137
8.39657807,5173
8.409708353,5169
8.422838636,5340
8.435968919,5249
8.449099201,5331
8.462229484,5355
8.475359767,5339
8.488490049,5299
8.501620332,5415
8.514750615,5328
8.527880897,5428
8.54101118,5461
8.554141463,5125
8.567271745,5410
8.580402028,5289
8.593532311,5240
8.606662593,5303
8.619792876,5229
8.632923159,5381
8.646053441,5350
8.659183724,5564
8.672314007,5526
8.685444289,5417
8.698574572,5416
8.711704855,5366
8.724835137,5356
8.73796542,5525
8.751095703,5579
8.764225985,5423
8.777356268,5393
8.790486551,5370
8.803616833,5337
8.816747116,5497
8.829877399,5463
8.843007681,5472
8.856137964,5455
8.869268247,5572
8.882398529,5532
8.895528812,5454
8.908659095,5556
8.921789378,5439
8.93491966,5353
8.948049943,5695
8.961180226,5516
8.974310508,5479
8.987440791,5557
9.000571074,5586
9.013701356,5569
9.026831639,5468
9.039961922,5530
9.053092204,5596
9.066222487,5701
9.07935277,5686
9.092483052,5651
9.105613335,5486
9.118743618,5637
9.1318739,5616
9.145004183,5638
9.158134466,5582
9.171264748,5508
9.184395031,5712
9.197525314,5699
9.210655596,5635
9.223785879,5621
9.236916162,5662
9.250046444,5753
9.263176727,5691
9.27630701,5773
9.289437292,5724
9.302567575,5791
9.315697858,5540
9.32882814,5787
9.341958423,5806
9.355088706,5631
9.368218989,5633
9.381349271,5877
9.394479554,5825
9.407609837,5650
9.420740119,5842
9.433870402,5834
9.447000685,5645
9.460130967,5788
9.47326125,5589
9.486391533,5830
9.499521815,5828
9.512652098,5814
9.525782381,5842
9.538912663,5799
9.552042946,5799
9.565173229,5805
9.578303511,5779
9.591433794,5962
9.604564077,5920
9.617694359,5791
9.630824642,5997
9.643954925,5773
9.657085207,5779
9.67021549,5866
9.683345773,5840
9.696476055,5877
9.709606338,5858
9.722736621,6064
9.735866903,5938
9.748997186,5865
9.762127469,5690
9.775257751,5967
9.788388034,5915
9.801518317,5879
9.8146486,5936
9.827778882,5930
9.840909165,5977
9.854039448,5933
9.86716973,5985
9.880300013,5851
9.893430296,5995
9.906560578,6031
9.919690861,5924
9.932821144,5960
9.945951426,6008
9.959081709,6126
9.972211992,5933
9.985342274,5897
9.998472557,5903
10.01160284,5976
10.02473312,6012
10.03786341,5918
10.05099369,6087
10.06412397,5907
10.07725425,6084
10.09038454,5939
10.10351482,5912
10.1166451,6018
10.12977538,5816
10.14290567,6044
10.15603595,6038
10.16916623,6111
10.18229651,5938
10.1954268,6052
10.20855708,6079
10.22168736,6111
10.23481765,6040
10.24794793,6164
10.26107821,6042
10.27420849,6014
10.28733878,6088
10.30046906,6043
10.31359934,6127
10.32672962,6105
10.33985991,6049
10.35299019,6204
10.36612047,6202
10.37925076,6231
10.39238104,6184
10.40551132,6127
10.4186416,6115
10.43177189,6138
10.44490217,6208
10.45803245,6071
10.47116273,6022
10.48429302,6173
10.4974233,6115
10.51055358,6333
10.52368386,6077
10.53681415,6022
10.54994443,6210
10.56307471,6090
10.576205,6050
10.58933528,6180
10.60246556,5952
10.61559584,6224
10.62872613,6174
10.64185641,6146
10.65498669,6269
10.66811697,6233
10.68124726,6212
10.69437754,6164
10.70750782,6228
10.7206381,6346
10.73376839,6367
10.74689867,6375
10.76002895,6377
10.77315924,6212
10.78628952,6236
10.7994198,6125
10.81255008,6156
10.82568037,6283
10.83881065,6336
10.85194093,6175
10.86507121,6393
10.8782015,6279
10.89133178,6348
10.90446206,6174
10.91759234,6395
10.93072263,6335
10.94385291,6399
10.95698319,6399
10.97011348,6379
10.98324376,6236
10.99637404,6202
11.00950432,6250
11.02263461,6166
11.03576489,6325
11.04889517,6345
11.06202545,6240
11.07515574,6413
11.08828602,6426
11.1014163,6374
11.11454658,6407
11.12767687,6442
11.14080715,6474
11.15393743,6324
11.16706772,6349
11.180198,6365
11.19332828,6420
11.20645856,6375
11.21958885,6344
11.23271913,6279
11.24584941,6384
11.25897969,6393
11.27210998,6455
11.28524026,6415
11.29837054,6511
11.31150083,6495
11.32463111,6483
