Angle,Intensity
8.225884396,4159
8.239014678,4175
8.252144961,4174
8.265275244,4125
8.278405526,4182
8.291535809,4106
8.304666092,4130
8.317796374,4170
8.330926657,4270
8.34405694,4179
8.357187222,4240
8.370317505,4182
8.383447788,4162
8.39657807,4115
8.409708353,4165
8.422838636,4212
8.435968919,4173
8.449099201,4238
8.462229484,4146
8.475359767,4265
8.488490049,4249
8.501620332,4290
8.514750615,4340
8.527880897,4217
8.54101118,4164
8.554141463,4229
8.567271745,4225
8.580402028,4130
8.593532311,4220
8.606662593,4329
8.619792876,4243
8.632923159,4332
8.646053441,4249
8.659183724,4342
8.672314007,4355
8.685444289,4209
8.698574572,4509
8.711704855,4395
8.724835137,4396
8.73796542,4383
8.751095703,4313
8.764225985,4262
8.777356268,4333
8.790486551,4433
8.803616833,4412
8.816747116,4443
8.829877399,4436
8.843007681,4467
8.856137964,4379
8.869268247,4308
8.882398529,4246
8.895528812,4445
8.908659095,4458
8.921789378,4442
8.93491966,4382
8.948049943,4523
8.961180226,4244
8.974310508,4501
8.987440791,4341
9.000571074,4424
9.013701356,4428
9.026831639,4440
9.039961922,4383
9.053092204,4363
9.066222487,4497
9.07935277,4489
9.092483052,4466
9.105613335,4402
9.118743618,4445
9.1318739,4521
9.145004183,4522
9.158134466,4483
9.171264748,4392
9.184395031,4457
9.197525314,4586
9.210655596,4403
9.223785879,4481
9.236916162,4554
9.250046444,4583
9.263176727,4534
9.27630701,4651
9.289437292,4447
9.302567575,4644
9.315697858,4616
9.32882814,4540
9.341958423,4397
9.355088706,4542
9.368218989,4571
9.381349271,4628
9.394479554,4571
9.407609837,4545
9.420740119,4785
9.433870402,4515
9.447000685,4379
9.460130967,4634
9.47326125,4614
9.486391533,4528
9.499521815,4550
9.512652098,4651
9.525782381,4539
9.538912663,4567
9.552042946,4647
9.565173229,4650
9.578303511,4723
9.591433794,4710
9.604564077,4555
9.617694359,4617
9.630824642,4584
9.643954925,4589
9.657085207,4483
9.67021549,4762
9.683345773,4683
