Angle,Intensity
7.661282241,4225
7.674412523,4317
7.687542806,4157
7.700673089,4177
7.713803371,4239
7.726933654,4278
7.740063937,4219
7.753194219,4264
7.766324502,4323
7.779454785,4346
7.792585067,4332
7.80571535,4293
7.818845633,4374
7.831975915,4261
7.845106198,4379
7.858236481,4404
7.871366763,4393
7.884497046,4309
7.897627329,4471
7.910757611,4326
7.923887894,4371
7.937018177,4350
7.950148459,4412
7.963278742,4447
7.976409025,4360
7.989539308,4281
8.00266959,4409
8.015799873,4406
8.028930156,4456
8.042060438,4334
8.055190721,4461
8.068321004,4438
8.081451286,4348
8.094581569,4555
8.107711852,4369
8.120842134,4400
8.133972417,4568
8.1471027,4451
8.160232982,4490
8.173363265,4497
8.186493548,4505
8.19962383,4529
8.212754113,4460
8.225884396,4536
8.239014678,4490
8.252144961,4527
8.265275244,4566
8.278405526,4513
8.291535809,4466
8.304666092,4503
8.317796374,4433
8.330926657,4633
8.34405694,4531
8.357187222,4604
8.370317505,4484
8.383447788,4635
8.39657807,4707
8.409708353,4595
8.422838636,4508
8.435968919,4640
8.449099201,4590
8.462229484,4680
8.475359767,4597
8.488490049,4620
8.501620332,4634
8.514750615,4726
8.527880897,4557
8.54101118,4495
8.554141463,4603
8.567271745,4729
8.580402028,4662
8.593532311,4724
8.606662593,4640
8.619792876,4522
8.632923159,4705
8.646053441,4692
8.659183724,4681
8.672314007,4789
8.685444289,4738
8.698574572,4800
8.711704855,4712
8.724835137,4623
8.73796542,4784
8.751095703,4854
8.764225985,4778
8.777356268,4804
8.790486551,4797
8.803616833,4824
8.816747116,4789
8.829877399,4809
8.843007681,4725
8.856137964,4746
8.869268247,4927
8.882398529,4865
8.895528812,4787
8.908659095,4829
8.921789378,4855
8.93491966,4904
8.948049943,4994
8.961180226,4825
8.974310508,4839
8.987440791,4873
9.000571074,4885
9.013701356,4772
9.026831639,4823
9.039961922,4871
9.053092204,4877
9.066222487,4989
9.07935277,4800
9.092483052,4868
9.105613335,4989
9.118743618,4820
9.1318739,4866
9.145004183,4932
9.158134466,4919
9.171264748,4933
9.184395031,5011
9.197525314,4800
9.210655596,4972
9.223785879,4997
9.236916162,4947
9.250046444,5015
9.263176727,4905
9.27630701,4862
9.289437292,4924
9.302567575,5042
9.315697858,4978
9.32882814,4975
9.341958423,4992
9.355088706,4961
9.368218989,5052
9.381349271,5035
9.394479554,4948
9.407609837,4869
9.420740119,5081
9.433870402,4893
9.447000685,5113
9.460130967,5049
9.47326125,4978
9.486391533,4995
9.499521815,5054
9.512652098,5118
9.525782381,5146
9.538912663,5078
9.552042946,5096
9.565173229,4959
9.578303511,5173
9.591433794,4956
9.604564077,5035
9.617694359,5107
9.630824642,5204
9.643954925,5081
9.657085207,5213
9.67021549,5067
9.683345773,5074
9.696476055,4982
9.709606338,5167
9.722736621,5144
9.735866903,5140
9.748997186,5125
9.762127469,5019
9.775257751,5127
9.788388034,5169
9.801518317,5102
9.8146486,5093
9.827778882,5240
9.840909165,5083
9.854039448,5152
9.86716973,5012
9.880300013,5182
9.893430296,5100
9.906560578,5140
9.919690861,5072
9.932821144,5072
9.945951426,5206
9.959081709,5027
9.972211992,5207
9.985342274,5352
9.998472557,5065
10.01160284,5218
10.02473312,5264
10.03786341,5081
10.05099369,5094
10.06412397,5147
10.07725425,5190
10.09038454,5215
10.10351482,5236
10.1166451,5233
10.12977538,5264
10.14290567,5222
10.15603595,5194
10.16916623,5311
10.18229651,5330
10.1954268,5304
10.20855708,5264
10.22168736,5183
10.23481765,5254
10.24794793,5229
10.26107821,5277
10.27420849,5283
10.28733878,5362
10.30046906,5238
10.31359934,5224
10.32672962,5395
10.33985991,5282
10.35299019,5298
10.36612047,5371
10.37925076,5296
10.39238104,5309
10.40551132,5399
10.4186416,5344
10.43177189,5388
10.44490217,5363
10.45803245,5290
10.47116273,5311
10.48429302,5239
10.4974233,5294
10.51055358,5357
10.52368386,5270
10.53681415,5310
10.54994443,5361
10.56307471,5351
10.576205,5364
10.58933528,5466
10.60246556,5315
10.61559584,5318
10.62872613,5367
10.64185641,5470
10.65498669,5393
10.66811697,5447
10.68124726,5264
10.69437754,5314
10.70750782,5353
10.7206381,5319
10.73376839,5392
10.74689867,5397
10.76002895,5493
10.77315924,5356
10.78628952,5281
10.7994198,5390
10.81255008,5458
10.82568037,5469
10.83881065,5468
10.85194093,5459
10.86507121,5415
10.8782015,5373
10.89133178,5389
10.90446206,5498
10.91759234,5374
10.93072263,5414
10.94385291,5476
10.95698319,5458
10.97011348,5401
10.98324376,5428
10.99637404,5487
11.00950432,5478
11.02263461,5591
11.03576489,5455
11.04889517,5414
11.06202545,5347
11.07515574,5373
11.08828602,5478
11.1014163,5384
11.11454658,5478
11.12767687,5483
11.14080715,5271
11.15393743,5482
11.16706772,5608
11.180198,5476
11.19332828,5547
11.20645856,5464
11.21958885,5463
11.23271913,5365
11.24584941,5418
11.25897969,5562
11.27210998,5499
11.28524026,5608
11.29837054,5540
11.31150083,5559
11.32463111,5494
11.33776139,5565
11.35089167,5525
11.36402196,5590
11.37715224,5495
11.39028252,5626
11.4034128,5505
11.41654309,5315
11.42967337,5464
11.44280365,5461
11.45593393,5541
11.46906422,5649
11.4821945,5512
11.49532478,5514
11.50845507,5487
11.52158535,5574
11.53471563,5544
11.54784591,5457
11.5609762,5533
11.57410648,5574
11.58723676,5520
11.60036704,5627
11.61349733,5558
11.62662761,5491
11.63975789,5464
11.65288817,5528
11.66601846,5577
11.67914874,5565
11.69227902,5486
11.70540931,5500
11.71853959,5546
11.73166987,5498
11.74480015,5500
11.75793044,5664
11.77106072,5424
11.784191,5653
11.79732128,5605
11.81045157,5615
11.82358185,5471
11.83671213,5642
11.84984241,5560
11.8629727,5500
11.87610298,5589
11.88923326,5492
11.90236355,5590
11.91549383,5627
11.92862411,5794
11.94175439,5618
11.95488468,5472
11.96801496,5613
11.98114524,5489
11.99427552,5604
12.00740581,5745
12.02053609,5760
12.03366637,5534
12.04679665,5616
12.05992694,5685
